date,realized,fhs_var,fhs_exc,hs_var,hs_exc,normal_var,normal_exc
2017-03-21,-1.2485594590102116,1.4098894414713705,0,2.323412455036433,0,1.8298027002724764,0
2017-03-22,0.18881028474626677,1.4869739391999164,0,2.323412455036433,0,1.8292932903898134,0
2017-03-23,-0.10608321448300831,2.2033730875942497,0,2.323412455036433,0,1.8331371634568794,0
2017-03-24,-0.08443522139384829,2.054732690149743,0,2.323412455036433,0,1.830166541515372,0
2017-03-27,-0.10201075858456302,2.0253853753427262,0,2.323412455036433,0,1.8305172980768305,0
2017-03-28,0.7225308829623951,1.9795496508456878,0,2.323412455036433,0,1.8298724231636874,0
2017-03-29,0.10847362038301697,1.9634251131756593,0,2.323412455036433,0,1.8301324883535925,0
2017-03-30,0.29308109117050135,1.7409692695416965,0,2.323412455036433,0,1.8302950222936223,0
2017-03-31,-0.22575939382668175,1.676734501665602,0,2.323412455036433,0,1.8294176713389345,0
2017-04-03,-0.16434753080133316,1.4893163578334772,0,2.323412455036433,0,1.8294285175245764,0
2017-04-04,0.055936607466137135,1.5610953556063252,0,2.323412455036433,0,1.8293204028610475,0
2017-04-05,-0.3059536811522123,1.5622011116080528,0,2.309660470448658,0,1.8191046133731423,0
2017-04-06,0.19276502937349932,1.5110197708197746,0,2.309660470448658,0,1.8176979091429273,0
2017-04-07,-0.08274724629448715,1.5921868960961174,0,2.309660470448658,0,1.813522783529674,0
2017-04-10,0.0687450135783276,1.4454643754564849,0,2.309660470448658,0,1.8119455142657692,0
2017-04-11,-0.14349082919582845,1.477954923096665,0,2.309660470448658,0,1.8119036726810462,0
2017-04-12,-0.37670374189869066,1.4250608491472896,0,2.309660470448658,0,1.8120386486183637,0
2017-04-13,-0.6838020289804216,1.4711959328451687,0,2.309660470448658,0,1.811817648502349,0
2017-04-17,0.8576465691107291,1.6219426420092373,0,2.309660470448658,0,1.8124464196034662,0
2017-04-18,-0.2907602845833255,1.9310275502549696,0,2.309660470448658,0,1.814103525300128,0
2017-04-19,-0.17178253968685744,1.6863251000392714,0,2.309660470448658,0,1.8139682102524428,0
2017-04-20,0.7528850362973852,1.771773036117677,0,2.309660470448658,0,1.8144640221079282,0
2017-04-21,-0.3039688107115378,1.7868654134856317,0,2.309660470448658,0,1.8148841077767963,0
2017-04-24,1.0781736588111828,1.5659423842669662,0,2.309660470448658,0,1.8125540878651683,0
2017-04-25,0.6072214211751177,1.6727212530679323,0,2.309660470448658,0,1.812789130539599,0
2017-04-26,-0.04858214756873499,1.4162024115158802,0,2.309660470448658,0,1.8128494997611502,0
2017-04-27,0.055276700029920633,1.2631598200398464,0,2.309660470448658,0,1.8128718478933996,0
2017-04-28,-0.19149794714900412,1.270596213702741,0,2.309660470448658,0,1.8131120296107304,0
2017-05-01,0.17307918268938255,1.2382589748353623,0,2.309660470448658,0,1.8132646928810892,0
2017-05-02,0.11883435858115295,1.3144439578391072,0,2.309660470448658,0,1.8129209498540382,0
2017-05-03,-0.12721693958273864,1.2537748953081485,0,2.309660470448658,0,1.8129796078996032,0
2017-05-04,0.05819332878695466,1.2074121991606537,0,2.309660470448658,0,1.8128729506285086,0
2017-05-05,0.40803594074783595,1.2550799053377757,0,2.309660470448658,0,1.8126671049403966,0
2017-05-08,0.0037445271907879016,1.2199062071720648,0,2.309660470448658,0,1.8127914989562026,0
2017-05-09,-0.10257745567932175,1.119234406080628,0,2.309660470448658,0,1.8116570808492238,0
2017-05-10,0.11299627174494742,1.1062737371172664,0,2.309660470448658,0,1.8112496681570305,0
2017-05-11,-0.21651513741066186,1.1455055892268893,0,2.309660470448658,0,1.8112929289131574,0
2017-05-12,-0.14795353407942594,1.1035794883245762,0,2.309660470448658,0,1.8113336198699868,0
2017-05-15,0.47651423030152334,1.200916140535113,0,2.309660470448658,0,1.8097099410444477,0
2017-05-16,-0.06871330369860457,1.2530136063210495,0,2.309660470448658,0,1.8094557085013594,0
2017-05-17,-1.8345468171115042,1.1390430247686494,1,2.309660470448658,0,1.8091944254498182,1
2017-05-18,0.36800386272159513,1.1565768017264078,0,2.309660470448658,0,1.8093926382726941,0
2017-05-19,0.67447032082007,2.605259385552644,0,2.309660470448658,0,1.8148386302167352,0
2017-05-22,0.514686329600843,2.3656086286381934,0,2.309660470448658,0,1.814838581262753,0
2017-05-23,0.18361851723804104,2.105264255308028,0,2.309660470448658,0,1.8101195175588927,0
2017-05-24,0.24860338045762945,1.9009365080182583,0,2.309660470448658,0,1.8100800909746932,0
2017-05-25,0.44321120419781745,1.7851576400920042,0,2.309660470448658,0,1.8088632226270234,0
2017-05-26,0.031050178530242344,1.6629840945341694,0,2.309660470448658,0,1.8043036549162854,0
2017-05-30,-0.12053507295338199,1.5250346994399848,0,2.309660470448658,0,1.8039917786262998,0
2017-05-31,-0.04600746199513276,1.4857495589510192,0,2.309660470448658,0,1.8029907031571126,0
2017-06-01,0.7542595584847225,1.5134075247579872,0,2.309660470448658,0,1.803105870103353,0
2017-06-02,0.370087461804602,1.5003792367930906,0,2.309660470448658,0,1.8004902705846226,0
2017-06-05,-0.12184071404286387,1.3136780989550467,0,2.309660470448658,0,1.7985042506919853,0
2017-06-06,-0.27829086662040836,1.2142020722639395,0,2.309660470448658,0,1.796760500147414,0
2017-06-07,0.1567028796347538,1.2661263143814419,0,2.309660470448658,0,1.7957446628177534,0
2017-06-08,0.026716903566476713,1.398259327167559,0,2.309660470448658,0,1.7961739726821415,0
2017-06-09,-0.08303338661872763,1.3352622946279633,0,2.309660470448658,0,1.796011962554873,0
2017-06-12,-0.09792424797181137,1.3166280624930708,0,2.309660470448658,0,1.7915511595011968,0
2017-06-13,0.450135884323014,1.2858930668609239,0,2.1835772698162375,0,1.7792988255934468,0
2017-06-14,-0.09963269653176028,1.3196429373656164,0,2.1835772698162375,0,1.779617922373601,0
2017-06-15,-0.22421097968403741,1.141645633142888,0,2.1835772698162375,0,1.7758117688264015,0
2017-06-16,0.028359915005969523,1.1892513290157933,0,2.1835772698162375,0,1.7756760425057425,0
